"Code","Country","Día30","ContagDía30","infoalawk","HDI","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Día7","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)"
"HRV","Croatia",2020-03-31,867,2,0.8373,56.95,43.05,6.78913369774818,14920.1913831924,96.3,2020-03-25,0.4569183,"Menos del 50% del sueldo",73.0493745532523,12
"HTI","Haiti",2020-04-25,72,2,0.5027,55.28,44.72,8.03550109267235,868.342024762787,90.74,2020-04-11,-1.909054,"Sin apoyo",403.59854862119,41
"HUN","Hungary",2020-04-10,1190,2,0.8447,71.35,28.65,6.87998980283737,16150.7727613725,67.59,2020-03-21,0.4873109,"Sin apoyo",107.981486799956,4
"IDN","Indonesia",2020-03-09,19,2,0.7069,55.33,44.67,2.98905447125435,3893.84642475571,40.74,2020-03-17,0.1798754,"Sin apoyo",147.75219008926,5
"IND","India",2020-02-08,3,1,0.6469,34.03,65.97,3.53495962917805,2005.86300452403,48.15,2020-03-17,0.2830485,"Sin apoyo",454.938072575247,9
"IRL","Ireland",2020-03-07,18,2,0.9425,63.17,36.83,7.18438327312469,78621.2279552716,48.15,2020-03-17,1.420338,"Menos del 50% del sueldo",70.6534475250399,7
"IRQ","Iraq",2020-03-30,630,2,0.6888,70.47,29.53,4.16663028299809,5834.16621076139,52.78,2020-03-10,-1.320548,"Sin apoyo",88.5305700354617,16
"ISL","Iceland",2020-03-06,43,2,0.9385,93.81,6.19,8.32629129290581,72968.7042306678,53.7,2020-03-23,1.465655,"Más del 50% del sueldo",3.51841396508728,3
"ISR","Israel",2020-03-28,3619,2,0.9062,92.42,7.58,7.40746408700943,41719.7254417057,81.48,2020-03-27,1.208207,"Sin apoyo",410.480591497227,4
"ITA","Italy",2020-02-09,3,2,0.8826,70.44,29.56,8.84025916457176,34520.085162403,69.91,2020-02-27,0.4138835,"Sin apoyo",205.418372203713,11
"JAM","Jamaica",2020-04-17,143,2,0.7257,55.67,44.33,5.98841682076454,5354.2368587703,75,2020-03-25,0.4967112,"Sin apoyo",270.993074792244,12
"JOR","Jordan",2020-04-01,278,2,0.7234,90.98,9.02,8.11925083398819,4241.78878213854,100,2020-04-02,0.112718,"Menos del 50% del sueldo",112.14249831043,18
"JPN","Japan",2020-02-27,218,0,0.9147,91.62,8.38,10.9359331429005,39159.4235633952,19.44,2020-02-19,1.675817,"Sin apoyo",347.073458415624,3
"KAZ","Kazakhstan",2020-04-19,1676,2,0.8172,57.43,42.57,3.12536172568798,9812.60140498928,89.35,2020-03-31,0.0217204,"Menos del 50% del sueldo",6.76982572137645,5
"KEN","Kenya",2020-04-19,270,2,0.5786,27.03,72.97,4.80254329741001,1707.98680529003,87.04,2020-04-01,-0.4108523,"Menos del 50% del sueldo",90.2994166637383,40
"KWT","Kuwait",2020-03-30,266,2,0.8084,100,0,5.2913848310709,33994.3819171507,93.52,2020-04-10,-0.0878059,"Menos del 50% del sueldo",232.172390572391,1
"LBN","Lebanon",2020-03-28,412,1,0.7301,88.59,11.41,8.19554403424263,8024.80327081387,52.78,2020-03-16,-0.6402023,"Sin apoyo",669.494134897361,10
"LBR","Liberia",2020-04-21,101,1,0.4647,51.15,48.85,8.15533772110939,677.322178545364,84.26,2020-04-10,-1.340831,"Sin apoyo",50.0309073920266,3
"LBY","Libya",2020-04-29,61,2,0.7076,80.1,19.9,NA,7877.12225061884,88.89,2020-04-08,-1.847037,"Sin apoyo",3.79563238119054,30
"LKA","Sri Lanka",2020-02-05,1,1,0.7801,18.48,81.52,3.81142050027847,4080.56712469552,100,2020-04-03,-0.2353793,"Sin apoyo",345.558922022006,4
"LSO","Lesotho",2020-06-19,4,2,0.518,28.15,71.85,8.76315832138062,1221.88376312516,58.33,2020-07-15,-0.8609057,"Sin apoyo",69.437812911726,28
"LTU","Lithuania",2020-03-06,1,2,0.8693,67.68,32.32,6.45756423473358,19080.6173717553,81.48,2020-03-27,1.072398,"Sin apoyo",44.7230757742448,7
"LUX","Luxembourg",2020-03-07,2,2,0.9087,90.98,9.02,5.4810743778944,116654.26106674,79.63,2020-03-20,1.778221,"Más del 50% del sueldo",250.185185185185,6
"LVA","Latvia",2020-03-09,6,2,0.8539,68.14,31.86,5.95566183328629,17805.2803143817,65.74,2020-04-09,1.043452,"Más del 50% del sueldo",30.9934705693149,9
"MAR","Morocco",2020-03-09,2,2,0.6764,62.45,37.55,5.24520017206669,3222.20063433213,55.56,2020-03-16,-0.2092959,"Sin apoyo",80.7285189334528,10
"MDG","Madagascar",2020-04-25,123,2,0.5207,37.19,62.81,5.50203807651997,527.501326141803,70.37,2020-05-23,-1.153121,"Menos del 50% del sueldo",45.1398556204881,2
"MEX","Mexico",2020-03-06,6,0,0.7674,80.16,19.84,5.51654137670994,9673.44367360619,52.78,2020-03-25,-0.153388,"Sin apoyo",64.9146264050001,3
"MLI","Mali",2020-04-03,39,2,0.4272,42.36,57.64,3.79398502409458,900.110164506815,72.22,2020-04-04,-1.004638,"Menos del 50% del sueldo",15.635015858186,8
"MOZ","Mozambique",2020-04-27,76,2,0.446,35.99,64.01,4.94119822978973,498.957220208652,62.04,2020-05-31,-0.8742813,"Sin apoyo",37.508535313716,25
"MRT","Mauritania",2020-04-02,6,2,0.5271,53.67,46.33,4.40315157175064,1600.87646860561,77.78,2020-04-05,-0.7266325,"Menos del 50% del sueldo",4.27216357815077,10
"MUS","Mauritius",2020-04-23,331,0,0.7964,40.79,59.21,5.71872070431709,11208.2273695738,82.41,2020-03-27,0.8760849,"Menos del 50% del sueldo",623.30197044335,7
"MWI","Malawi",2020-05-01,37,2,0.4854,16.94,83.06,9.64823141694069,381.258987601084,56.48,2020-04-13,-0.7286705,"Sin apoyo",192.440761561307,20
"MYS","Malaysia",2020-02-03,8,2,0.8042,76.04,23.96,3.85939814150333,11373.2330025676,73.15,2020-03-23,1.075348,"Sin apoyo",95.9628214883579,3
"NAM","Namibia",2020-04-02,14,2,0.645,50.03,49.97,8.55095684528351,5495.42883582824,60.65,2020-07-16,0.106442,"Más del 50% del sueldo",2.97374558175127,34
"NER","Niger",2020-04-25,684,2,0.3766,16.42,83.58,7.73996263742447,571.526992228733,61.11,2020-03-31,-0.7660425,"Sin apoyo",17.7176505881424,0
